name,full_name,dob,age,height,weight,eye_color,hair_color,zodiac_sign,hometown,nationality,education_qualification,religion,food_habit,hobbies,marital_status,salary,net_worth,image_path
Rajkummar Rao,Rajkummar Rao,31 August 1984,,175 cm,70 kg,Dark Brown,Black,Virgo,Gurugram_Haryana_India,Indian,Bachelor of Arts (B. A.),Hinduism,Vegetarian,Reading_Travelling_Dancing,Unmarried,,,images/Rajkummar_Rao.jpg
Ranbir Kapoor,Ranbir Raj Kapoor,28 September 1982,,183 cm,78 kg,Dark Brown,Black,Libra,Mumbai_Maharashtra_India,Indian,A Course on film making from the School of Visual Arts,Hinduism,Non-Vegetarian,Playing Football_Travelling and Watching Movies,Unmarried,₹20-25 Crore/film,₹307 Crore ($39 Million),images/Ranbir_Kapoor.jpg
Prasanna (Actor),Prasanna (Actor),28 August 1982,, 180 cm, 78 kg ,Brown,Black,Virgo,Tiruchirappalli_Tamil Nadu_India,Indian,,Hinduism,,,Married,,,images/Prasanna_(Actor).jpg
Rajkumar Hirani,Rajkumar Hirani,20 November 1962,,175 cm,73 kg,Dark Brown,Salt & Pepper,Scorpio,Nagpur_Maharashtra,Indian,Course in Editing,Hinduism,,Reading,Married,,,images/Rajkumar_Hirani.jpg
Randeep Hooda,Randeep Singh Hooda,20 August 1976,,180 cm,,Dark Brown,Black,Leo,Rohtak_Haryana_India,Indian,MBA in Human Resource Management and Marketing ,Hinduism,Non-Vegetarian,Doing Wildlife Photography_Playing Polo & Show Jumping_Listening To Instrumental Music_Travelling_Doing Workout_Horse-Riding,Unmarried,₹3-4 Crore/film,₹68 Crore ($10 Million),images/Randeep_Hooda.jpg
Om Shivpuri,Om Shivpuri,,,,,,,,,,,,,,,,,images/Om_Shivpuri.jpg
Rajneesh Duggal,Rajneesh Duggal,19 November 1981,,188 cm,85 kg,Black,Black,Scorpio,Delhi_India,Indian,Graduate (B.B.A.),Hindu,,Swimming,Married,Not Known,Not Known,images/Rajneesh_Duggal.jpg
Rajesh Khanna,Rajesh Khanna,29 December 1942,,173 cm,88 kg,Black,White,Capricorn,Mumbai_Maharashtra,Indian,B. A.,Hinduism,,Reading Horoscope_Cooking,Married,,,images/Rajesh_Khanna.jpg
Rajiv Kapoor,Rajiv Kapoor,25 August 1962,,170 cm,80 kg,Brown,Black,Virgo,Mumbai_India, Indian,"Not known,
",Hinduism,,,Divorced,,48346410.10 Rs.,images/Rajiv_Kapoor.jpg
Sahil Khan,Sahil Khan,5 November 1976,,178 cm,90 kg,Hazel,Black,Scorpio,Kolkata_West Bengal_India,Indian ,Not Known,Islam,,Travelling,Divorced,Not Known,Not Known,images/Sahil_Khan.jpg
Sahil Shroff,Sahil Shroff,13 April,,183 cm,80 kg,Dark Brown,Black,Aries,Melbourne_Victoria_Australia,Australian,Masters in Information Technology,Hinduism,,Playing outdoor sports_Watching Movies_Playing Guitar_Reading_Practicing Martial Arts,Unmarried,,,images/Sahil_Shroff.jpg
Sunil Dutt,Sunil Dutt,6 June 1930,,178 cm,74 kg,Dark Brown,Black,Gemini,Mumbai_Maharashtra_India,Indian ,B.A (Hons.) in History in 1954 from Jai Hind College Bombay (now Mumbai),Hinduism,,Doing Philanthropy_Listening to Music,Married (at the time of death),,20 Crore INR (as in 2004),images/Sunil_Dutt.jpg
Thagubothu Ramesh,Thagubothu Ramesh,20 January 1981,,168 cm,70 kg,Dark Brown,Black,Capricorn,Hyderabad_Telangana_India,Indian,,Hinduism,,Travelling_Spending time with family_Playing with kids,Married,,,images/Thagubothu_Ramesh.jpg
Tusshar Kapoor,Tusshar Ravi Kapoor,20 November 1976,,175 cm,75 kg,Dark Brown,Black,Scorpio,Mumbai_Maharashtra_India,Indian ,Bachelor of Business Administration (BBA) and Liberal Arts,Hinduism,Non-Vegetarian,Playing Basketball_Watching Movies,Unmarried,₹2-3 Crore/film,,images/Tusshar_Kapoor.jpg
Uday Chopra,Uday Chopra,5 January 1973,,170 cm,78 kg,Black,Black,Capricorn,Mumbai_Maharashtra_India,Indian ,Not Known,Hindu,,Travelling,Unmarried,,,images/Uday_Chopra.jpg
Upen Patel,Upen Patel,16 August 1982,,176 cm,74 kg,Black,Black,Leo,Ahemdabad_Gujarat_India,British,"Graduate (Computer Science),
Diploma in film-making, (From NIFT, UK),
Diploma in scriptwriting (From UK)",Hindu,,Chilling out with Friends_Watching movies_Reading,Unmarried,Not Known,Not Known,images/Upen_Patel.jpg
Varun Tej,Varun Tej,19 January 1990,, 191 cm, 90 kg,Brown,Black,Capricorn,Hyderabad_Telangana_India,Indian,Not Known,Hinduism,,Playing cricket_reading books,Unmarried,,,images/Varun_Tej.jpg
Vicky Kaushal,Vicky Kaushal,16 May 1988 ,,191 cm,80 kg,Dark Brown,Black,Taurus,Mumbai_Maharashtra_India,Indian ,Bachelor's degree in Electronics and Telecommunications,Hinduism,Non-vegetarian,Dancing_Travelling_Reading_Gymming,Unmarried,₹3 crore/film (as in 2018),,images/Vicky_Kaushal.jpg
Vennela Kishore,Vennela Kishore,19 September 1980 (Friday),,173 cm,75 kg,Black,Black,Virgo,Telangana,Indian,B.com and Masters in Information Systems,Hinduism,Non-Vegetarian,Watching Movies_Playing cricket_Playing snooker,Married,,Not Known,images/Vennela_Kishore.jpg
Veeru Devgan,Veeru Devgan,- 1942,,175 cm,,Black ,Salt & Pepper,,Mumbai_Maharashtra_India, Indian,,Hinduism,Non-Vegetarian,Travelling_Watching Sports,Married,,Not Known,images/Veeru_Devgan.jpg
Venu Madhav,Venu Madhav,30 December 1979 (Monday),,,,,,Capricorn,Suryapet_Telangana_India,Indian,Not Known,Hinduism,,Travelling_Listening to music_watching movies,Married,,,images/Venu_Madhav.jpg
Varun Sandesh,Jeedigunta Varun Sandesh,21 July 1989,, 173 cm, 70 kg ,Brown,Black,Cancer,Rayagada_Odisha_India,American, Not Known,Hinduism,Non-Vegetarian,Playing Basketball_Cricket_Baseball_American football,Married,,,images/Varun_Sandesh.jpg
Zulfi Syed,Zulfi Syed,26 August 1976,,183 cm,75 kg,Black,Brown,Virgo,Bengaluru_Karnataka,Indian,MBA Hotel Management,Islam,,Listening to Music_Travelling,Married,,,images/Zulfi_Syed.jpg
Zayed Khan,Zayed Abbas Khan,5 July 1980,,183 cm,80 kg,Dark Brown,Black,Cancer,Bengaluru_Karnataka_India,Indian,"Diploma in Film Making,
Bachelor of Business Management",Islam,Non-Vegetarian,Playing Adventure Sports_Biking_Playing the Guitar,Married,₹1-2 crore/film,,images/Zayed_Khan.jpg
Yatin Karyekar,Yatin Karyekar,1 July 1966,,-173 cm,65 kg,Grey,Bald,Cancer,Mumbai_India,Indian,,Hinduism,,Watching Movies,Divorced,,,images/Yatin_Karyekar.jpg
Zeishan Quadri,Zeishan Quadri,17 March 1983,,173 cm,70 kg,Dark Brown,Black,Pisces,Wasseypur,Indian,Bachelor of Business Administration (BBA),Islam,,,Unmarried,,,images/Zeishan_Quadri.jpg
Yogesh Sharma,Yogesh Sharma,30 April 2004,,,,Dark Brown,Black,Taurus,Mathura_Uttar Pradesh_India,Indian,Middle Education,Hinduism,,Swimming_dancing,,,,
Yashpal Sharma,Yashpal Sharma,1 January 1967,,175 cm,75 kg,Black,Black,Capricorn,Hisar_Haryana_India,Indian,Graduation In Acting & Drama,Hinduism,,Reading_Travelling,Married,,,images/Yashpal_Sharma.jpg
Vivek Mushran,Vivek Mushran,9 August 1969,, 178 cm, 76 kg ,Brown,Black,Leo,Renukoot_Sonbhadra district_Uttar Pradesh_India,Indian,,Hinduism,,Singing_writing,Married,,,images/Vivek_Mushran.jpg
Yash Tonk,Yash Tonk,30 October,, 175 cm, 72 kg ,Brown,Black,Scorpio,Hisar_Haryana_India,Indian,,Hinduism,,Dancing,Married,,,images/Yash_Tonk.jpg
Vivek Dahiya,Vivek Dahiya,8 November 1984 ,,180 cm,74 kg,Black,Black,Scorpio,Chandigarh_India,Indian ,MSc in International Business Management,Hinduism,,Reading_Playing on Playstation_Kick-boxing_Writing_Travelling_Photography,Married,Not Known,,images/Vivek_Dahiya.jpg
Vishal Karwal,Vishal Karwal,"November 18, 1985",,178 cm,78 kg,Black,Black,Scorpio,Palampur_Himachal Pradesh_India,Indian,Graduate (B.Tech),Hindu,,Reading books_Watching Television,Unmarried,Not Known,Not Known,images/Vishal_Karwal.jpg
Vishal Krishna,Vishal Krishna Reddy,29 August 1977,, 180 cm, 73 kg ,Brown,Black,Virgo,Chennai_Tamil Nadu_India,Indian,,Hinduism,,Dancing,Unmarried,,,images/Vishal_Krishna.jpg
Vivek Oberoi,Vivek Anand Oberoi,3 September 1976,,178 cm,80 kg,Dark Brown,Black,Virgo,Mumbai_India,Indian,Master's Degree in Acting,Hinduism,Vegetarian,Cooking_Boxing,Married,₹3-4 Crore/film,$14 Million,images/Vivek_Oberoi.jpg
Vineeth Sreenivasan,Vineeth Sreenivasan,1 October 1985,,165 cm,85 kg,Black,Black,Libra,Kuthuparamba_Kerala, Indian,Bachelors in Mechanical Engineering,Indian,,Acting_Reading & Singing,Married, 50 lacs/film (INR),,images/Vineeth_Sreenivasan.jpg
Vinod Khanna,Vinod Khanna,6 October 1946,,178 cm,88 kg,Dark Brown,Salt & Pepper,Libra,Mumbai_Maharashtra,Indian,Degree in Commerce,Hinduism,,Not Known,Married,,,images/Vinod_Khanna.jpg
Vinod Mehra,Vinod Mehra,13 February 1945,,175 cm,68 kg,Dark Brown,Black,Aquarius,Amritsar_Punjab_India,Indian,Not Known,Hinduism,,,Married when died,,,images/Vinod_Mehra.jpg
Vinay Pathak,Vinay Pathak,27 July 1968,,168 cm,80 kg,Light Brown,Salt & Pepper,Leo,Ranchi_Jharkhand,Indian,Graduate,Hinduism,,,Divorced,,,images/Vinay_Pathak.jpg
Vineet Kumar,Vineet Kumar,24 August 1981,,183 cm,75 kg,Dark Brown,Black,Virgo,Varanasi_Uttar Pradesh_India,Indian ,"Graduation in Medical Science,
MD (Doctor of Medicine) in Ayurveda from Nagpur",Hinduism,,Playing Basketball_Listening to Music_Watching Films,Unmarried,50 Lakh (INR)/film,,images/Vineet_Kumar.jpg
Vindu Dara,Vindu Dara,6 May 1964 (Wednesday),,183 cm,90 kg,Dark Brown,Black,Taurus,Mumbai_Maharashtra_India,Indian,Graduate,Sikhism,Non-Vegetarian,Travelling_Swimming,Married,,,images/Vindu_Dara.jpg
Vipin Sharma,Vipin Sharma,10 November,,170 cm,70 kg,Black,Black,Scorpio,New Delhi_India,Indian,Course in Acting,Hinduism,,Travelling_Reading_Writing_Yoga,Married,,,images/Vipin_Sharma.jpg
Vikas Kalantri,Vikas Kalantri,,,,,,,,,,,,,,,,,images/Vikas_Kalantri.jpg
Vijay Arora,Vijay Arora,27 December 1944 (Wednesday),,178 cm,,Black,Black,Capricorn,Mumbai_India,Indian,Two-year acting course from the FTII,Hinduism,,,Married,,,images/Vijay_Arora.jpg
Vijay Raaz,Vijay Raaz,5 June 1963,,183 cm,,Dark Brown,Black,Gemini,Delhi_India,Indian,Bachelor of Commerce (B.Com.),Hinduism,,Reading Books on Spirituality & Philosophy_Travelling,Married,,,images/Vijay_Raaz.jpg
Vijay Sethupathi,Vijaya Gurunatha Sethupathi,16 January 1978, 42 Years, 175 cm, 65 kg ,Black,Black,Capricorn,Chennai_Tamil Nadu_India,Indian,,Hinduism,,Singing_writing,Married,,,images/Vijay_Sethupathi.jpg
"Varun Dhawan,",Varun David Dhawan,24 April 1987 (Friday),,180 cm,75 kg,Dark Brown,Black,Taurus,Mumbai_Maharashtra,Indian,Graduate in Business Management,Hinduism,Non-Vegetarian,Dancing_Swimming and Reading,Unmarried,30 crores-35 crores ,49.58 crores (2018) ,"images/Varun_Dhawan,.jpg"
Vijay Deverakonda,Deverakonda Vijay Sai,9 May 1989,,180 cm,75 kg,Brown,Black,Taurus,Hyderabad_Telangana_India,Indian ,Bachelor of Commerce with Honours (B.Com.(Hons)),Hinduism,,Reading Books,Unmarried,,,images/Vijay_Deverakonda.jpg
Vijay Raghavendra,Vijay Raghavendra,26 May 1979,,175 cm,70 kg,Dark Brown,Black,Gemini,Bengaluru_Karnataka_India,Indian,Gradaute,Hinduism,,Driving_Singing,Married,,,images/Vijay_Raghavendra.jpg
Tom Alter,Thomas Beach Alter,22 June 1950,,180 cm,80 kg,Blue,White,Cancer,Mussoorie_Uttarakhand_India,Indian (Ancestors from America),Graduate,Christianity,,Reading Urdu Shayari_Playing and watching Cricket,Married/Unmarried,,,images/Tom_Alter.jpg
Tottempudi Gopichand,Tottempudi Gopichand,12 June 1979,, 186 cm, 75 kg ,Dark Brown,Black,Gemini,Hyderabad_Telangana_India,Indian,,Hinduism,,Playing chess_watching TV,Married,6 crore/film (INR),Not Known,images/Tottempudi_Gopichand.jpg
Tiger Shroff,Tiger Shroff,2 March 1990,,175 cm,70 kg,Light Brown,Black,Pisces,Mumbai_Maharashtra_India,Indian,12th Standard (University drop-out),Hinduism,Non-Vegetarian,Dancing_Performing Martial Arts_Working Out At Gym,Unmarried,₹5 crore/film ,₹50 crore,images/Tiger_Shroff.jpg
Tigmanshu Dhulia,Tigmanshu Dhulia,3 July 1967,,168 cm,80 kg,Brown,Black,Cancer,Allahabad_Uttar Pradesh,Indian,"Degree in English,
Degree in Economics ,
Degree in Modern History,
Master's in Theatre",Hinduism,,,Married,,,images/Tigmanshu_Dhulia.jpg
Tiku Talsania,Tiku Talsania,7 June 1956,,168 cm,75 kg,Dark Brown,Black,Gemini,Mumbai_Maharashtra_India,Indian,Not Known,Hinduism,,Bike Riding_Reading_Photography_Adventure Touring,Married,,,images/Tiku_Talsania.jpg
Tinnu Anand,Tinnu Anand,4 May 1953,,169 cm,60 kg,Black ,Salt & Pepper (Semi-Bald),Taurus ,Mumbai_Maharashtra_India , Indian ,A Degree in Film-making from Satyajit Ray School,Not Known,Vegetarian ,Not known ,Married ,,,
Sushanth (Actor),Sushanth (Actor),18 March,,183 cm,80 kg,Dark Brown,Black,Pisces,Hyderabad_Telangana_India,Indian,B.S in Electrical Engineering,Hinduism,Non-Vegetarian,Dancing_Gymming,Unmarried,,,images/Sushanth_(Actor).jpg
Sushant Singh,Sushant Singh,21 January 1986 (Tuesday),,178 cm,,Dark Brown,Black,Aquarius,Maldiha_Purnea_Bihar,Indian,"12th Standard,
,
, Sushant is a Mechanical Engineering dropout.",Hinduism,Non-Vegetarian ,Dancing_Playing Video Games,Unmarried,Rs. 5-6 Crore/film,,images/Sushant_Singh.jpg
Sunny Deol,Sunny Deol,19 October 1956,,174 cm,805 kg,Brown,Brown,Libra,Sahnewal_Ludhiana_Punjab_India,Indian,Graduate,Sikhism,,Photography_Working Out At Gym_Trekking,Married,₹5 Crore/film,₹339 Crore ($50 million),images/Sunny_Deol.jpg
Suryakumar Yadav,Suryakumar Ashok Yadav,14 September 1990,,180 cm,75 kg,Black,Black,Virgo,Mumbai_Maharashtra_India,Indian ,Bachelor of Commerce (B.Com),Hinduism,Non-Vegetarian,Gymming_Playing video games & guitar_Golfing_Watching football_Swimming_Reading,Married,₹3.2 crore,,images/Suryakumar_Yadav.jpg
Suresh Chavhanke,Suresh Chavhanke,18 February 1972,48 Years,170 cm,78 kg,Dark Brown,Black,Aquarius,Shirdi_Maharashtra_India,Indian,LL.B. (Degree in law),Hinduism,,Travelling,Married,,Not Known,images/Suresh_Chavhanke.jpg
Suresh Oberoi,Suresh Oberoi,17 December 1946,,170 cm,80 kg,Dark Brown,Grey,Sagittarius,Mumbai_Maharashtra_India,Indian,High School Graduate,Hinduism,,Reading Newspaper_Watching Movies with Family_Writing Poetry,Married,,₹6 crore,images/Suresh_Oberoi.jpg
Sumeet Raghavan,Sumeet Raghavan,22 April 1971,,175 cm,65 kg,Dark Brown,Black,Taurus,Mumbai_Maharashtra_India,Indian,Graduate,Hinduism,Non-Vegetarian,Singing,Married,,,images/Sumeet_Raghavan.jpg
Sunil Arora,Sunil Arora,13 April 1956,,170 cm,75 kg,Black,Grey,Aries,Hoshiarpur_Punjab_India,Indian,"• BA Honours in English,
• MA in English",Hinduism,,Reading_Writing,Not Known,"₹2,50,000",,images/Sunil_Arora.jpg
Sudheer Babu,Sudheer Babu,11 May 1977,,183 cm,80 kg,Black,Black,Taurus,Vijayawada_Andhra Pradesh,Indian,"BE, GMT and MBA",Hindu,,Playing badminton and gymming,Married,7 Crore/film (INR),Not Known,images/Sudheer_Babu.jpg
Sumanth,Sumanth,,,,,,,,,,,,,,,,,images/Sumanth.jpg
Sudhir Dalvi,Sudhir Dalvi,20 March 1939,,161 cm,65 kg,Black ,Black,Pieses,Mumbai, Indian,Graduate (Bachelor of Architecture),Hinduism,,,Married,,,images/Sudhir_Dalvi.jpg
Sudeep (Actor),Sudeep (Actor),2 September 1973,,185 cm,80 kg,Dark Brown,Black,Virgo,Bengaluru_Karnataka_India,Indian ,B.tech in Mechanical Engineering ,Hinduism,,Playing cricket,Divorced,6 crore/film (INR),Not Known,images/Sudeep_(Actor).jpg
Sundeep Kishan,Padam Sundeep Kishan,7 May 1987 (Thursday),,,,,,Taurus,Chennai,Indian,,Hinduism,"Non-Vegetarian,
",Travelling and Partying,Unmarried,,,images/Sundeep_Kishan.jpg
"Subbaraju Height,",Penmatsa Subbaraju,27 February 1977 (Sunday),,178 cm,65 kg,Black,Black,Pisces,Hyderabad_Telangana_India,Indian,B.Sc. in Mathematics,Hinduism,Vegetarian,Travelling_Gymming,Unmarried,,,"images/Subbaraju_Height,.jpg"
Sonu Sood,Sonu Sood,30 July 1973 ,,188 cm,80 kg,Brown,Black,Leo,Nagpur_Maharashtra_India,Indian ,"Electronic Engineer,
",Hinduism,,Kick-boxing _workout and playing guitar,Married,₹1-2 Crore ,Not Known,images/Sonu_Sood.jpg
Sonu Nigam,Sonu Nigam,"30 July 1973,
",,170 cm,65 kg,Dark Brown,Black,Leo,Delhi_India,Indian ,Graduate,Hinduism,,Gymming_Reading,Married,Rs. 5-7 Lakh/song,$8 million,images/Sonu_Nigam.jpg
Sooraj Pancholi,Sooraj Pancholi,5 July 1990,,,,Black,Black,Cancer,His ancestral background is Gujarat but his family is settled in Mumbai from many years. ,Indian ,12th Standard,Hindu,,Dancing_Martial Arts,Unmarried,Not Known,Not Known,images/Sooraj_Pancholi.jpg
Sohail Khan,Sohail Khan,20 December 1969,,177 cm,80 kg,Brown,Brown,Sagittarius,Mumbai_Maharashtra_India,Indian,Not Known,Islam,Non-Vegetarian,Playing Cricket and Gymming,Married,,₹68 Crore ($10 million),images/Sohail_Khan.jpg
Sikandar Kher,Sikandar Kher,31 October 1984,,188 cm,76 kg,Black,Black,Scorpio,Mumbai_Maharashtra_India,Indian ,Not Known,Hindu,,Travelling,Engaged,Not Known,Not Known,images/Sikandar_Kher.jpg
"Sivakarthikeyan Height,","Sivakarthikeyan Height,",17 February 1985,, 175 cm, 69 kg ,Brown,Black,Aquarius,Singampuneri_Sivagangai_Tamil Nadu,Indian,,Hinduism,,Dancing_singing,Married,,,"images/Sivakarthikeyan_Height,.jpg"
Soham Chakraborty,Soham Chakraborty,4 March 1984,,175 cm,75 kg,Dark Brown,Black,Pisces,Kolkata_India,Indian,Graduate,Hinduism,,Playing_Reading_Shopping,Married,,,images/Soham_Chakraborty.jpg
Sidhant Gupta,Sidhant Gupta,23 April 1989,,183 cm,77 kg,Brown,Black,Taurus,Jammu & Kashmir_India,Indian ,Not Known,Hindu,,Travelling and gymming,Unmarried,,,images/Sidhant_Gupta.jpg
Sidharth Malhotra,Sidharth Malhotra,16 January 1985,35 Years,185 cm,80 kg,Brown,Black,Capricorn,Delhi_India,Indian,B.Com (Hons.),Hinduism,Non-Vegetarian,Gymming_Drawing Cartoons,Unmarried,₹3-5 Crore/film,₹67 Crore ($10 Million),images/Sidharth_Malhotra.jpg
Sobhan Babu,Sobhan Babu,,,,,,,,,,,,,,,,,images/Sobhan_Babu.jpg
Shreyas Talpade,Shreyas Talpade,27 January 1976,,170 cm,71 kg,Black,Black,Capricorn,Mumbai_Maharashtra_India,Indian ,Graduate,Hinduism,,Travelling_Watching TV,Married,,,images/Shreyas_Talpade.jpg
Siddharth-Koirala,Siddharth-Koirala,,,,,,,,,,,,,,,,,images/Siddharth-Koirala.jpg
Shekhar Suman,Shekhar Suman,"7 December 1962 ,
",,173 cm,66 kg,Black,Black,Sagittarius,Kadam Kuan_Patna_Bihar_India,Indian ," Graduate in History,
",Hindu,,Power Yoga_exercise and Singing,Married,4 Lacs/ episode (INR),20 Crore (INR),images/Shekhar_Suman.jpg
Shashi Kapoor,Shashi Kapoor,18 March 1938,,175 cm,85 kg,Dark Brown,White,Pisces,Mumbai_Maharashtra_India,Indian,School Dropout,Hinduism,,Playing musical instruments_Listening to music_Watching movies,Widower,,₹500 Crore,images/Shashi_Kapoor.jpg
Sharad Kelkar,Sharad Kelkar,7 October 1976 ,,185 cm,81 kg,Black,Black,Libra,Gwalior_Madhya Pradesh_India,Indian ,MBA and Graduate in Physical Education,Hindu,,Playing basketball_Judo and cricket,Married,Not Known,Not Known,images/Sharad_Kelkar.jpg
Shatrughan Sinha,Shatrughan Sinha,9 December 1945,,183 cm,86 kg,Light Brown,Black,Sagittarius,Patna_Bihar,Indian,Course in Acting,Hinduism,,Listening to Music_Practising Yoga,Married,,INR 131 Crore (as in 2014),images/Shatrughan_Sinha.jpg
Shankar Mahadevan,Shankar Mahadevan,3 March 1967,, 168 cm, 80 kg, Black,Black,Pisces,Mumbai_Maharashtra,Indian ,Software Engineering,Hinduism,,Travelling,Married,,,images/Shankar_Mahadevan.jpg
Shammi Kapoor,Shamsher Raj Kapoor,21 October 1931,,180 cm,80 kg,Brown,Black,Libra,Kolkata (India),Indian ,Matric ,Hinduism,Non-Vegetarian,Playing musical instruments,Married,,Not Known,images/Shammi_Kapoor.jpg
Shah Rukh,Shah Rukh,2 November 1965 (Tuesday),,173 cm,75 kg,Dark Brown,Black,Scorpio,New Delhi_India,Indian,"• BA (Hons.) in Economics from Hans Raj College,
,
• Masters Degree in Mass Communications (Filmmaking) from Jamia Millia Islamia University",Islam ,Non-Vegetarian ,Playing Computer Games_Collecting Gadgets_Playing Cricket,Married,₹45 crore/film,"₹3780 crores,
$600 million",images/Shah_Rukh.jpg
Shahid Kapoor,Shahid Kapoor,25 February 1981,,172 cm,70 kg,Black,Black,Pisces,Mumbai_Maharashtra_India,Indian,Graduate,Hinduism,Vegetarian,Reading_Dancing,Married,₹10 Crore/film,₹186 Crores,images/Shahid_Kapoor.jpg
Sharman Joshi,Sharman Joshi,28 April 1979 ,,178 cm,68 kg,Black,Black,Taurus,Mumbai_Maharashtra_India,Indian ,Not Known,Hindu,,Travelling_watching movies_reading and playing sports,Married,Not Known,$15 million,images/Sharman_Joshi.jpg
Sayaji Shinde,Sayaji Shinde,13 January 1959,,170 cm,65 kg,Dark Brown,Black,Capricorn,Satara_Maharashtra_India,Indian,Bachelor of Arts,Hinduism,,Reading,Married,,,images/Sayaji_Shinde.jpg
Satish Shah,Satish Ravilal Shah,25 June 1951,,178 cm,90 kg,Black,Grey,Cancer,Mandvi_Kutch_Gujarat, Indian,Not Known,Hinduism,,,Married,,₹5.5 Crore,images/Satish_Shah.jpg
Sarath Kumar,Ramanathan Sarath Kumar,14 July 1954,,177 cm,70 kg,Brown,Black,Cancer,Thalakavur_Sivaganga_Chennai,Indian,BSc. (Mathematics),Hinduism,,Reading Books_Doing Workout_Playing Football,Married,,$20 Million,images/Sarath_Kumar.jpg
Sarfaraz Khan,Sarfaraz Khan,27 October 1997,,165 cm,64 kg,Black,Black,Scorpio,Mumbai_Maharashtra_India,Indian,Not Known,Islam,,Listening music,Unmarried,Not Known,Not Known,images/Sarfaraz_Khan.jpg
"Santhanam Height,","Santhanam Height,",21 January 1980,, 170 cm, 63 kg ,Brown,Black,Aquarius,Pozhichalur_Chennai_Tamil Nadu_India,Indian,,Hinduism,,Singing,Married,,,"images/Santhanam_Height,.jpg"
Sathyaraj (Kattappa),Sathyaraj (Kattappa),3 October 1954,,183 cm,85 kg,Dark Brown,Salt & Pepper (Semi-bald),Libra,Coimbatore_Tamil Nadu_India,Indian ,Bachelor Degree in Botany,Hinduism,,,Married ,40-50 lakh/film (INR),,images/Sathyaraj_(Kattappa).jpg
Sanjay Dutt,Sanjay Balraj Dutt,29 July 1959,,183 cm,85 kg,Dark Brown,Salt & Pepper,Leo,Mumbai_Maharashtra_India,Indian,Not Known,Hinduism,Non-Vegetarian,Playing the Guitar_Photography_Cooking_Doing Workouts_Horse Riding,Married,₹5-6 Crore/Film,₹65 Crore (as in 2014),images/Sanjay_Dutt.jpg
Sanjay Kapoor,Sanjay Kapoor,17 October 1960,,175 cm,70 kg,Dark Brown,Black,Libra,Mumbai_Maharashtra_India,Indian,Not Known,Hinduism,,Doing Yoga_Travelling_Listening to Music,Married ,Not Known,Not Known,images/Sanjay_Kapoor.jpg
