name,full_name,dob,age,height,weight,eye_color,hair_color,zodiac_sign,hometown,nationality,education_qualification,religion,food_habit,hobbies,marital_status,salary,net_worth,image_path
Usha Chavan,Usha Chavan KaduDeshmukh,17 October 1955,,160 cm,55 kg,Black,Black,Libra,Pune_Maharashtra_India,Indian,,Hinduism,,Dancing_Singing_Reading_Shopping,Married ,₹50-75 lakhs/film,$100 million,images/Usha_Chavan.jpg
Uma Bharti,Uma Bharti,3 May 1959,,161 cm,70 kg,Black,Black,Taurus,Dunda_Tikamgarh_Madhya Pradesh, Indian,Studied till 6th grade,Hinduism,,• Reading spiritual texts like Bhagavad Gita,Unmarried,,₹1.5 Crores (as in 2014),images/Uma_Bharti.jpg
Ujjwala Raut,Ujjwala Raut,,,,,,,,,,,,,,,,,images/Ujjwala_Raut.jpg
Udita Goswami,Udita Goswami,9 February 1984,,170 cm,55 kg,Dark Brown,Black,Aquarius,Dehradun_India,Indian,Not Known,Hinduism,,Listening to Music_dancing,Married,,,images/Udita_Goswami.jpg
Twinkle Khanna,Twinkle Khanna,29 December 1974,,163 cm,57 kg,Brown,Brown,Capricorn,Mumbai_India,Indian ,Not Known,Hindu,,Interior Designing_Writing,Married,,$30 million,images/Twinkle_Khanna.jpg
Udhayathara (Actress),Udhayathara (Actress),16 March 1988,,163 cm,60 kg,Dark Brown,Black,Pisces,Malabar_Kerala_India,Indian,,Christianity,,Dancing,Married,,,images/Udhayathara_(Actress).jpg
Tia Bajpai,Tia Bajpai,23 May 1989,,168 cm,50 kg,Black,Black,Gemini,Lucknow_Uttar Pradesh_India,Indian,,Hinduism,,,Unmarried,,,images/Tia_Bajpai.jpg
Tisca Chopra,Tisca Chopra,1 November 1973,,163 cm,57 Kg,Brown,Black,Scorpio,Delhi_India,Indian,Degree in English Literature ,Buddhism,,Workout_yoga and dancing ,Married,Not Known,Not Known,images/Tisca_Chopra.jpg
Trisha Krishnan,Trisha Krishnan,4 May 1983,, 165 cm, 52 kg,,,Taurus,Chennai_Tamil Nadu_India,Indian,,Hindu,,Listening to music_reading_swimming,Unmarried,,,images/Trisha_Krishnan.jpg
Tulip Joshi,Tulip Joshi,11 September 1979,,168 cm,55 kg,Brown ,Black,Virgo ,Mumbai_India,Indian,Graduate,Hinduism,,Doing Yoga_Travelling_Listening to Music_Writing,Married,,,images/Tulip_Joshi.jpg
Tara Sharma,Tara Sharma,11 January 1977 ,,163 cm,50 kg,Dark Brown,Black,Capricorn ,Mumbai_India,Indian,B.Sc in Management ,Hinduism,,Travelling_Listening to Music,Married,,,images/Tara_Sharma.jpg
Tejaswi Madivada,Tejaswi Madivada,3 July 1991,,163 cm,55 kg,Dark Brown,Black,Cancer,Hyderabad_Telangana_India,Indian,B.A. in Mass Communication and Journalism,Hinduism,,Dancing_Photography_Running_Trekking,Unmarried,Not Known,,images/Tejaswi_Madivada.jpg
Tamannaah Bhatia,Tamannaah Bhatia,21 December 1989 (Thursday),,165 cm,55 kg,Hazel,Black,Sagittarius ,Mumbai_Maharashtra_India,Indian,Bachelor of Arts (Distance Education),Hinduism,,Dancing_Reading_Writing Poetry & Quotes ,Unmarried,1-1.75 Crore/film (INR),,images/Tamannaah_Bhatia.jpg
Tara Alisha,Tara Alisha,19 May 1988 ,,165 cm,52 Kg,Black,Black,Taurus ,Mumbai_Maharashtra_India,Indian,Course in Method acting ,Hindu,,Dancing and reading,Unmarried,Not Known,Not Known,images/Tara_Alisha.jpg
Tanishaa Mukerji,Tanishaa Mukerji,3 March 1978,,155 cm,54 Kg,Black ,Black,Pisces,Mumbai_Maharashtra_India,Indian,Not Known,Hindu,,Dancing and reading,Unmarried,Not Known,Not Known,images/Tanishaa_Mukerji.jpg
Tanaaz Irani,Tanaaz Irani,8 April 1971,, 165 cm, 57 kg,Black,Black,Aries,Mumbai_Maharashtra_India,Indian,,Zoroastrianism (Parsi),,Dancing,Married,,,images/Tanaaz_Irani.jpg
Tanushree Dutta,Tanushree Dutta,19 March 1984,,168 cm,65 kg,Dark Brown,Black,Pisces,Jamshedpur_Jharkhand_India,Indian,Bachelor of Commerce (dropout),Hinduism,Non-Vegetarian,Dancing_Singing,Unmarried,,,images/Tanushree_Dutta.jpg
Tanuja Chandra,Tanuja Chandra,3 June 1969 (Tuesday),,163 cm,,Black,Black,Gemini,Mumbai_Maharashtra,Indian,"• Bachelor of Arts in English Literature,
• Master of Fine Arts in Film Directing",Hinduism,,Photography_Cooking_Travelling,Not Known,,,images/Tanuja_Chandra.jpg
Tanvi Azmi,Tanvi Azmi,9 November 1960,,163 cm,70 kg,Dark Brown,Black,Scorpio,Maharashtra_India,Indian,,Hinduism,,Reading_Cooking,Unmarried,,,images/Tanvi_Azmi.jpg
Sushmita Sen,Sushmita Sen,19 November 1975,,175 cm,54 Kg,Light Brown,Black,Scorpio,Kolkata_India,Indian,"Graduate (English Honors, Journalism)",Hinduism,,Writing Poems & Prose_Jet Skiing_Biking,Unmarried ,₹3 Crore/film,Not Known,images/Sushmita_Sen.jpg
Swaroop Sampat,Swaroop Sampat,3 November 1958,,165 cm,55 kg,Black,Black,Scorpio,Mumbai_Maharashtra_India,Indian,"• Doctorate in Science,
• Ph.D. in Education and Drama",Hinduism,,Reading_Spending Time With Children,Married,,,images/Swaroop_Sampat.jpg
Swastika Mukherjee,Swastika Mukherjee,13 December 1980,,170 cm,60 kg,Hazel Green,Light Brown (Dyed),Sagittarius,Kolkata_India,Indian ,Graduate,Hinduism,,Travelling_Cooking,Divorced,,,images/Swastika_Mukherjee.jpg
"Tabu Height,","Tabu Height,",4 November 1971,,,,Dark Brown,Black,Scorpio,Now her hometown is Mumbai but her roots are from Hyderabad,Indian ,Graduate in Electronics,Islam,,Collecting perfumes_writing poems_reading books,Unmarried,Not Known,Not Known,"images/Tabu_Height,.jpg"
Swapna Barman,Swapna Barman,29 October 1996,,160 cm,50 kg,Black,Black,Scorpio,Ghospara Village_Jalpaiguri_West Bengal,Indian,Not Known,Hinduism,,,Unmarried,,,images/Swapna_Barman.jpg
Surveen Chawla,Surveen Chawla,1 August 1984,,168 cm,53 Kg,Light Brown,Black,Leo,Chandigarh_India,Indian,Graduation in English,Sikhism,,Singing_driving_workout,Engaged,80 lakhs/film (INR),$3 million,images/Surveen_Chawla.jpg
Surbhi Jyoti,Surbhi Jyoti,29 May 1988,,168 cm,53 Kg,Black,Black,Gemini,Jalandhar_Punjab_India,Indian,Master of Arts in English,Hindu,,Dancing_reading and yoga,Unmarried,70-75 thousand/episode (INR),,images/Surbhi_Jyoti.jpg
Supriya Pathak,Supriya Pathak,7 January 1961,,163 cm,72 kg,Black,Black,Capricorn,Dadar_Mumbai_India,Indian,Graduation in Fine Arts,Hinduism,,,Married,,,images/Supriya_Pathak.jpg
Supriya Devi,Supriya Devi,8 January 1933,,160 cm,55 kg,Black,White,Capricorn,Kolkata_West Bengal_India,Indian,Not Known,Hindu,,Reading_Travelling,Married,,,images/Supriya_Devi.jpg
Yash Tonk,Yash Tonk,30 October,, 175 cm, 72 kg ,Brown,Black,Scorpio,Hisar_Haryana_India,Indian,,Hinduism,,Dancing,Married,,,images/Yash_Tonk.jpg
Yogesh Sharma,Yogesh Sharma,30 April 2004,,,,Dark Brown,Black,Taurus,Mathura_Uttar Pradesh_India,Indian,Middle Education,Hinduism,,Swimming_dancing,,,,
Suraiya,Suraiya,,,,,,,,,,,,,,,,,images/Suraiya.jpg
Yashpal Sharma,Yashpal Sharma,1 January 1967,,175 cm,75 kg,Black,Black,Capricorn,Hisar_Haryana_India,Indian,Graduation In Acting & Drama,Hinduism,,Reading_Travelling,Married,,,images/Yashpal_Sharma.jpg
Sunaina Roshan,Sunaina Roshan,Year 1972,,168 cm,75 kg,Brown,Dark Brown,,Mumbai_India,Indian,Not Known,Hinduism,,Writing_Reading Books_Partying,Divorced,,,images/Sunaina_Roshan.jpg
Yatin Karyekar,Yatin Karyekar,1 July 1966,,-173 cm,65 kg,Grey,Bald,Cancer,Mumbai_India,Indian,,Hinduism,,Watching Movies,Divorced,,,images/Yatin_Karyekar.jpg
Supriya Pilgaonkar,Supriya Pilgaonkar,17 August 1967 ,,157 cm,65 kg,Black,Black,Leo,Mumbai_Maharastra,Indian,Post Graduate,Hinduism,,Cooking_Singing_Watching TV_Listening to Music,Married,,,images/Supriya_Pilgaonkar.jpg
Vivek Mushran,Vivek Mushran,9 August 1969,, 178 cm, 76 kg ,Brown,Black,Leo,Renukoot_Sonbhadra district_Uttar Pradesh_India,Indian,,Hinduism,,Singing_writing,Married,,,images/Vivek_Mushran.jpg
Vivek Dahiya,Vivek Dahiya,8 November 1984 ,,180 cm,74 kg,Black,Black,Scorpio,Chandigarh_India,Indian ,MSc in International Business Management,Hinduism,,Reading_Playing on Playstation_Kick-boxing_Writing_Travelling_Photography,Married,Not Known,,images/Vivek_Dahiya.jpg
Vivek Oberoi,Vivek Anand Oberoi,3 September 1976,,178 cm,80 kg,Dark Brown,Black,Virgo,Mumbai_India,Indian,Master's Degree in Acting,Hinduism,Vegetarian,Cooking_Boxing,Married,₹3-4 Crore/film,$14 Million,images/Vivek_Oberoi.jpg
Vineet Kumar,Vineet Kumar,24 August 1981,,183 cm,75 kg,Dark Brown,Black,Virgo,Varanasi_Uttar Pradesh_India,Indian ,"Graduation in Medical Science,
MD (Doctor of Medicine) in Ayurveda from Nagpur",Hinduism,,Playing Basketball_Listening to Music_Watching Films,Unmarried,50 Lakh (INR)/film,,images/Vineet_Kumar.jpg
Vineeth Sreenivasan,Vineeth Sreenivasan,1 October 1985,,165 cm,85 kg,Black,Black,Libra,Kuthuparamba_Kerala, Indian,Bachelors in Mechanical Engineering,Indian,,Acting_Reading & Singing,Married, 50 lacs/film (INR),,images/Vineeth_Sreenivasan.jpg
Vinod Khanna,Vinod Khanna,6 October 1946,,178 cm,88 kg,Dark Brown,Salt & Pepper,Libra,Mumbai_Maharashtra,Indian,Degree in Commerce,Hinduism,,Not Known,Married,,,images/Vinod_Khanna.jpg
Vinod Mehra,Vinod Mehra,13 February 1945,,175 cm,68 kg,Dark Brown,Black,Aquarius,Amritsar_Punjab_India,Indian,Not Known,Hinduism,,,Married when died,,,images/Vinod_Mehra.jpg
Vipin Sharma,Vipin Sharma,10 November,,170 cm,70 kg,Black,Black,Scorpio,New Delhi_India,Indian,Course in Acting,Hinduism,,Travelling_Reading_Writing_Yoga,Married,,,images/Vipin_Sharma.jpg
Vishal Krishna,Vishal Krishna Reddy,29 August 1977,, 180 cm, 73 kg ,Brown,Black,Virgo,Chennai_Tamil Nadu_India,Indian,,Hinduism,,Dancing,Unmarried,,,images/Vishal_Krishna.jpg
Vishal Karwal,Vishal Karwal,"November 18, 1985",,178 cm,78 kg,Black,Black,Scorpio,Palampur_Himachal Pradesh_India,Indian,Graduate (B.Tech),Hindu,,Reading books_Watching Television,Unmarried,Not Known,Not Known,images/Vishal_Karwal.jpg
Vindu Dara,Vindu Dara,6 May 1964 (Wednesday),,183 cm,90 kg,Dark Brown,Black,Taurus,Mumbai_Maharashtra_India,Indian,Graduate,Sikhism,Non-Vegetarian,Travelling_Swimming,Married,,,images/Vindu_Dara.jpg
Vinay Pathak,Vinay Pathak,27 July 1968,,168 cm,80 kg,Light Brown,Salt & Pepper,Leo,Ranchi_Jharkhand,Indian,Graduate,Hinduism,,,Divorced,,,images/Vinay_Pathak.jpg
Suhasi Goradia,Suhasi Goradia,28 April 1988,,168 cm,55 kg,Black,Black,Taurus,Mumbai_India,Indian,Not Known,Hinduism,,Dancing,Married,,,images/Suhasi_Goradia.jpg
"Suhasini Height,","Suhasini Height,",15 August 1961,,165 cm,60 kg,Brown,Black,Leo,Chennai_Tamil Nadu,Indian,Graduate In Cinematography,Atheist (Belongs to Hindu Family),,Singing_Traveling,Married,,₹120 Crore,"images/Suhasini_Height,.jpg"
Sukirti Kandpal,Sukirti Kandpal,20 November 1987,,-160 cm,-50 kg,Black,Black,Scorpio,Nainital_Uttarakhand_India,Indian,,Hinduism,,Watching TV_reading books_travelling,Unmarried,,,images/Sukirti_Kandpal.jpg
